hr,steps,gsr,calories,temp,sent_num
89.0,0,5.69762e-05,1.9,88.7,P
94.0,0,6.190859999999999e-05,2.1,87.8,P
98.0,0,5.5728599999999994e-05,2.2,86.9,N
79.0,0,5.66617e-05,1.5,87.8,N
98.0,63,5.60379e-05,2.6,86.0,N
121.0,123,5.3020500000000005e-05,8.0,81.5,P
100.0,0,0.000527265,2.5,86.0,P
103.0,0,0.00019794900000000003,2.5,86.9,P
101.0,0,5.6349e-05,2.4,87.8,P
98.0,0,5.72925e-05,2.3,88.7,P
97.0,0,5.60379e-05,2.2,86.9,P
100.0,0,5.5728599999999994e-05,2.4,87.8,P
87.0,0,6.0553e-05,1.8,86.9,P
98.0,0,6.72679e-05,2.2,89.6,P
85.0,0,0.00127832,1.7,84.2,P
106.0,16,4.85269e-05,2.7,71.6,P
90.0,0,6.1227e-05,1.8,86.9,P
84.0,0,5.60379e-05,1.6,87.8,P
88.0,0,5.69762e-05,1.7,87.8,P
77.0,0,5.72925e-05,1.5,88.7,P
111.0,21,5.5728599999999994e-05,3.6,87.8,N
95.0,0,5.76104e-05,2.0,89.6,N
97.0,0,5.69762e-05,2.2,89.6,N
93.0,0,5.82517e-05,1.9,90.5,P
113.0,95,5.6349e-05,3.4,88.7,P
110.0,0,5.5115100000000004e-05,2.8,86.9,N
98.0,0,7.22866e-05,2.2,88.7,N
100.0,0,0.000301469,2.5,85.1,P
84.0,0,3.6994800000000003,1.5,85.1,N
95.0,0,0.00687704,2.1,87.8,P
98.0,0,0.000145997,2.2,89.6,N
89.0,0,5.76104e-05,1.8,88.7,N
94.0,0,5.60379e-05,2.1,87.8,P
91.0,0,5.60379e-05,1.9,87.8,P
86.0,0,5.72925e-05,1.6,87.8,P
91.0,0,8.07485e-05,1.8,86.0,N
78.0,0,5.45083e-05,1.5,85.1,P
130.0,5,5.48109e-05,8.7,76.1,N
93.0,0,5.6349e-05,1.9,87.8,P
93.0,0,6.08891e-05,2.0,89.6,P
97.0,0,6.02188e-05,2.2,89.6,N
95.0,0,5.76104e-05,2.0,89.6,P
95.0,0,5.60379e-05,2.1,87.8,P
92.0,0,6.190859999999999e-05,1.9,88.7,P
77.0,0,8.970299999999999e-05,1.5,88.7,P
96.0,0,9.74685e-05,2.2,87.8,N
85.0,0,6.32945e-05,1.5,86.9,P
90.0,0,5.82517e-05,1.9,87.8,P
91.0,0,5.66617e-05,1.8,88.7,P
88.0,0,5.66617e-05,1.9,87.8,N
